Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,641.82",-2.01,-0.07,"5,525,511,872.75"
Sensitive Index,463.64,-1.08,-0.23,"1,288,997,831.10"
Float Index,181.28,-0.47,-0.26,"5,487,739,216.00"
Sensitive Float Index,156.64,-0.49,-0.31,"1,288,997,831.10"
Banking SubIndex,"1,451.68",-7.30,-0.50,"658,648,979.90"
Development Bank Index,"5,567.07",-16.72,-0.29,"203,674,094.80"
Finance Index,"2,347.58",-27.31,-1.14,"191,254,838.80"
Hotels And Tourism,"7,316.22",-22.72,-0.30,"61,853,872.60"
HydroPower Index,"3,744.97",17.25,0.46,"2,235,769,427.50"
Investment,96.74,-0.57,-0.59,"95,115,177.00"
Life Insurance,"11,761.01",-42.82,-0.36,"100,743,120.90"
Manufacturing And Processing,"10,477.79",134.87,1.30,"1,626,066,878.20"
Microfinance Index,"4,546.08",-30.45,-0.66,"184,722,744.60"
Mutual Fund,21.02,0.06,0.29,"20,140,118.65"
Non Life Insurance,"10,520.19",-64.85,-0.61,"45,708,464.00"
Others Index,"1,938.95",9.10,0.47,"79,027,440.70"
Trading Index,"3,244.41",4.55,0.14,"5,154,177.00"
