Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,642.40",0.55,0.02,"3,532,105,518.26"
Sensitive Index,463.61,1.39,0.30,"1,323,253,313.90"
Float Index,181.56,0.20,0.11,"3,497,490,993.20"
Sensitive Float Index,156.96,0.48,0.31,"1,323,253,313.90"
Banking SubIndex,"1,455.41",0.77,0.05,"365,689,669.10"
Development Bank Index,"5,572.73",-12.66,-0.22,"165,776,981.90"
Finance Index,"2,392.29",5.93,0.24,"318,215,604.60"
Hotels And Tourism,"7,336.79",62.30,0.85,"73,651,856.50"
HydroPower Index,"3,719.70",-15.06,-0.40,"1,556,817,346.00"
Investment,98.71,2.14,2.21,"427,535,270.10"
Life Insurance,"11,747.52",-18.31,-0.15,"75,561,712.90"
Manufacturing And Processing,"10,323.64",-73.90,-0.71,"288,654,147.00"
Microfinance Index,"4,553.27",-1.90,-0.04,"130,484,759.40"
Mutual Fund,20.95,0.06,0.29,"13,934,457.57"
Non Life Insurance,"10,576.56",9.85,0.09,"31,367,290.70"
Others Index,"1,915.10",-2.10,-0.10,"57,972,570.70"
Trading Index,"3,325.58",-7.07,-0.21,"5,763,784.30"
