SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"7,778.15","7,709.15",-,-,"8,328.60","6,580.43","42,755,474.20","49,011",308
2,2025-08-07,"7,737.41","7,797.35","7,633.24",(86.13),(1.12 %),"8,328.60","6,580.43","654,073,137.30","863,668","5,619"
3,2025-08-06,"7,651.28","7,704.57","7,584.45",(-8.11),(-0.10 %),"8,328.60","6,580.43","538,139,559.20","667,992","4,883"
4,2025-08-05,"7,659.39","7,809.61","7,649.67",(-125.82),(-1.61 %),"8,328.60","6,580.43","656,321,977.80","846,396","5,713"
5,2025-08-04,"7,785.22","7,846.18","7,676.70",(-10.07),(-0.12 %),"8,328.60","6,580.43","1,010,897,221.70","1,217,950","8,187"
6,2025-08-03,"7,795.29","8,007.96","7,781.22",(-194.91),(-2.43 %),"8,328.60","6,580.43","1,381,943,220.80","1,591,932","10,953"
7,2025-07-31,"7,990.21","8,119.80","7,951.57",(-92.35),(-1.14 %),"8,328.60","6,580.43","1,678,211,533.90","1,888,524","11,894"
8,2025-07-30,"8,082.56","8,248.33","8,072.76",(-108.37),(-1.32 %),"8,328.60","6,580.43","1,700,697,396.20","1,840,095","12,061"
9,2025-07-29,"8,190.94","8,317.64","8,115.78",(79.49),(0.98 %),"8,328.60","6,580.43","1,522,335,999.90","1,647,996","12,221"
10,2025-07-28,"8,111.45","8,116.01","7,854.19",(177.54),(2.23 %),"8,328.60","6,580.43","2,082,762,836.90","2,504,537","16,099"
11,2025-07-27,"7,933.90","8,080.20","7,826.88",(84.77),(1.08 %),"8,328.60","6,580.43","2,073,846,496.00","2,682,279","15,295"
12,2025-07-24,"7,849.13","7,936.39","7,802.43",(-46.22),(-0.58 %),"8,328.60","6,580.43","771,225,675.70","1,034,189","7,419"
13,2025-07-23,"7,895.35","7,952.63","7,812.76",(32.01),(0.40 %),"8,328.60","6,580.43","1,319,626,446.90","1,825,455","11,587"
14,2025-07-22,"7,863.34","7,878.51","7,514.68",(348.66),(4.63 %),"8,328.60","6,580.43","1,594,717,419.50","2,264,313","14,483"
15,2025-07-21,"7,514.68","7,539.23","7,453.44",(28.04),(0.37 %),"8,328.60","6,580.43","564,403,906.50","844,092","5,352"
16,2025-07-20,"7,486.63","7,648.61","7,466.85",(-85.51),(-1.12 %),"8,328.60","6,580.43","713,057,214.60","1,013,015","7,500"
17,2025-07-17,"7,572.15","7,599.18","7,356.13",(216.40),(2.94 %),"8,328.60","6,580.43","744,964,356.20","1,097,126","6,966"
18,2025-07-16,"7,355.74","7,428.82","7,251.24",(100.90),(1.39 %),"8,328.60","6,580.43","452,654,468.05","629,375","4,661"
19,2025-07-15,"7,254.83","7,280.34","7,178.11",(63.43),(0.88 %),"8,328.60","6,580.43","281,382,421.50","348,092","2,838"
20,2025-07-14,"7,191.40","7,359.31","7,186.21",(-57.18),(-0.78 %),"8,328.60","6,580.43","207,684,454.80","306,340","2,370"
21,2025-07-13,"7,248.58","7,320.59","7,240.61",(23.01),(0.31 %),"8,328.60","6,545.17","305,751,726.60","427,135","3,672"
22,2025-07-10,"7,225.57","7,249.39","7,192.83",(32.74),(0.45 %),"8,328.60","6,540.41","295,318,372.70","435,478","3,149"
23,2025-07-09,"7,192.83","7,209.15","7,115.79",(68.12),(0.95 %),"8,328.60","6,500.87","214,495,325.00","294,069","2,449"
24,2025-07-08,"7,124.70","7,131.89","7,076.57",(26.28),(0.37 %),"8,328.60","6,500.87","149,123,547.80","218,499","2,060"
25,2025-07-07,"7,098.41","7,211.22","7,088.90",(-89.77),(-1.24 %),"8,328.60","6,500.87","221,133,763.30","304,533","2,561"
26,2025-07-06,"7,188.19","7,199.33","7,115.50",(45.67),(0.63 %),"8,328.60","6,470.54","286,864,517.00","376,405","3,481"
27,2025-07-03,"7,142.51","7,157.01","7,098.98",(28.17),(0.39 %),"8,328.60","6,470.54","254,391,838.60","397,795","3,155"
28,2025-07-02,"7,114.34","7,119.95","7,051.55",(49.13),(0.69 %),"8,328.60","6,470.54","205,064,259.30","302,718","2,578"
29,2025-07-01,"7,065.20","7,075.02","7,012.23",(-5.62),(-0.07 %),"8,328.60","6,340.69","147,535,631.50","193,732","2,229"
30,2025-06-30,"7,070.82","7,081.15","6,954.68",(113.93),(1.63 %),"8,328.60","6,340.69","159,311,616.70","215,191","2,323"
31,2025-06-29,"6,956.89","6,996.37","6,932.36",(-39.45),(-0.56 %),"8,328.60","6,340.69","177,793,483.70","259,162","2,702"
