Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,538.11",15.44,0.61,"2,942,781,826.16"
Sensitive Index,449.18,3.02,0.67,"1,113,462,456.80"
Float Index,174.19,1.22,0.71,"2,922,882,660.40"
Sensitive Float Index,151.61,1.17,0.78,"1,113,462,456.80"
Banking SubIndex,"1,427.15",10.37,0.73,"314,072,802.20"
Development Bank Index,"5,423.86",31.94,0.59,"147,448,687.30"
Finance Index,"2,262.83",20.46,0.91,"130,935,652.70"
Hotels And Tourism,"7,057.03",21.37,0.30,"57,632,129.50"
HydroPower Index,"3,505.21",33.07,0.95,"1,446,140,285.00"
Investment,93.81,0.41,0.44,"169,606,227.90"
Life Insurance,"11,172.20",10.05,0.09,"51,150,226.20"
Manufacturing And Processing,"10,430.85",50.74,0.48,"381,751,280.70"
Microfinance Index,"4,389.97",19.15,0.43,"88,258,550.10"
Mutual Fund,19.52,-0.01,-0.09,"4,957,651.56"
Non Life Insurance,"9,316.86",-7.28,-0.07,"86,451,050.40"
Others Index,"1,801.60",14.47,0.80,"45,830,437.10"
Trading Index,"3,206.61",23.00,0.72,"3,605,331.30"
