Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,672.58",-16.29,-0.60,"3,381,318,248.01"
Sensitive Index,467.69,-2.31,-0.49,"978,740,615.60"
Float Index,183.59,-0.97,-0.52,"3,354,371,852.50"
Sensitive Float Index,158.50,-0.77,-0.48,"978,740,615.60"
Banking SubIndex,"1,480.50",-4.98,-0.33,"412,690,078.30"
Development Bank Index,"5,648.79",-64.42,-1.12,"313,934,293.30"
Finance Index,"2,432.30",-3.24,-0.13,"166,192,812.60"
Hotels And Tourism,"7,334.15",-15.43,-0.21,"74,200,254.30"
HydroPower Index,"3,690.16",-44.92,-1.20,"1,446,363,319.60"
Investment,98.21,-0.54,-0.55,"127,119,397.90"
Life Insurance,"12,018.40",-51.58,-0.42,"67,602,887.00"
Manufacturing And Processing,"10,632.14",-72.06,-0.67,"512,124,478.80"
Microfinance Index,"4,599.37",-21.86,-0.47,"110,730,698.00"
Mutual Fund,21.06,-0.15,-0.72,"4,734,168.74"
Non Life Insurance,"10,768.16",-17.80,-0.16,"56,396,749.80"
Others Index,"1,948.24",-13.59,-0.69,"62,234,536.40"
Trading Index,"3,382.04",-14.34,-0.42,"4,782,346.50"
