Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,542.77",4.66,0.18,"3,465,201,042.79"
Sensitive Index,449.50,0.31,0.06,"1,056,123,696.60"
Float Index,174.35,0.15,0.08,"3,395,416,485.50"
Sensitive Float Index,151.73,0.12,0.08,"1,056,123,696.60"
Banking SubIndex,"1,430.65",3.49,0.24,"323,277,680.30"
Development Bank Index,"5,434.72",10.86,0.20,"191,617,878.60"
Finance Index,"2,255.02",-7.81,-0.34,"106,597,031.50"
Hotels And Tourism,"7,063.55",6.51,0.09,"56,078,404.20"
HydroPower Index,"3,496.87",-8.34,-0.23,"1,599,970,008.30"
Investment,94.99,1.18,1.26,"100,540,865.80"
Life Insurance,"11,181.24",9.04,0.08,"54,285,575.00"
Manufacturing And Processing,"10,479.15",48.29,0.46,"763,887,309.80"
Microfinance Index,"4,401.83",11.85,0.27,"102,049,753.00"
Mutual Fund,19.55,0.03,0.17,"58,822,289.39"
Non Life Insurance,"9,290.70",-26.15,-0.28,"41,203,899.20"
Others Index,"1,795.01",-6.59,-0.36,"48,941,810.80"
Trading Index,"3,241.67",35.06,1.09,"6,966,269.00"
