Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,701.32",-33.28,-1.21,"6,080,863,354.65"
Sensitive Index,471.49,-1.98,-0.41,"2,009,454,116.00"
Float Index,185.53,-1.86,-0.99,"5,811,033,101.20"
Sensitive Float Index,159.88,-0.65,-0.40,"2,009,454,116.00"
Banking SubIndex,"1,490.75",1.63,0.10,"1,271,410,860.20"
Development Bank Index,"5,733.96",-106.80,-1.82,"368,679,000.10"
Finance Index,"2,448.04",-17.45,-0.70,"416,769,705.90"
Hotels And Tourism,"7,374.56",-167.84,-2.22,"177,829,098.70"
HydroPower Index,"3,743.78",-72.55,-1.90,"1,989,554,119.80"
Investment,99.75,-0.71,-0.70,"304,265,996.40"
Life Insurance,"12,164.76",-154.82,-1.25,"133,949,499.60"
Manufacturing And Processing,"10,792.81",-256.37,-2.32,"743,263,221.30"
Microfinance Index,"4,655.75",-60.21,-1.27,"154,487,369.20"
Mutual Fund,21.24,0.03,0.15,"6,779,488.85"
Non Life Insurance,"10,875.18",-133.53,-1.21,"52,689,910.90"
Others Index,"1,969.13",-34.03,-1.69,"190,699,501.40"
Trading Index,"3,372.01",-77.01,-2.23,"7,434,817.70"
